   100.000,     0.594,     0.013
   200.000,     1.425,     0.026
   300.000,     2.040,     0.041
   400.000,     2.899,     0.055
   500.000,     3.099,     0.069
   600.000,     3.996,     0.076
   700.000,     4.759,     0.091
   800.000,     7.239,     0.102
   900.000,     7.893,     0.115
  1000.000,     7.943,     0.129
